type,tweet
N,And strike and strike and strike and strike and strike! Aama lama rama lama bimbam!
N,EVERY American ought devote the time to listen to this 51 minute radio interview: How Trump is Practicing Fascist Politics
N,"People are really tired of the whining. There's no conspiracy, no matter how much you try to conjure one up."
P,"Jesus wanted everyone to be equal and United as people. Socialism is exactly that, everyone being equal and United. The only reason communism was seen as bad was because of the Soviets oppressing their people."
P,You won't be laughing when Trump is inaugurated on the 20th of January
P,President Trump please dont give up remember the story of king Soloman and Adonijah
P,7.5 trillion added to national debt during trump admin .. Total debt is at 27+ trillion Americans believed a guy who inherited 400 million and declared bankruptcy 3 times
P,"It couldnt have anything do with the increase in knowledge and general information given to all voters on how exactly to mail in votes?? Less mistakes=less rejection, but its clear you want to spin it in any way to beat your chest."
P,"Biden has 80 million votes. Do you believe it..... ??? As a result, the number of voters is more than the number of registered voters..... Biden's vote is too exaggerated..."
N,The Left runs the debates. The left runs the elections. The left runs the schools. Why do we allow this?
P,Really? One of many whistle blowers testifying.
P,"But Biden still leads . Wonder if any votes are missing in states that trum came from behind to win. Like Florida or Texas for instance . Maybe Graham did not win ,maybe he was able to get mail in ballots of deems . Thrown out as he is trying in states that Biden won"
N,"To be fair, he also promised to releases his taxes. And never pay golf. And Mexico would pay for the wall."
P,I live in Bucks County PA...my ex-husband lives in TX...he received a ballot at my address...he moved out in 2015...I'M CERTAIN he voted in TX...????
P,Yes you are the best president! I cant wait for Inauguration Day 2021!
N,But he's still way behind in that state and the electoral votes go to Biden!! Another win for Biden! So much winning!! Sorry about all your losing Hoss!
N,"From CHRISTIANITY TODAY, founded by Billy Graham: ""TRUMP SHOULD BE REMOVED FROM OFFICE --- Its time to say what we said 20 years ago when a presidents character was revealed for what it was."""
N,"Problem was our elections weren't secure. YOU refused to take any real action. The people then took it upon themselves to secure elections in their own states. YOU don't get to cheat this time. BTW which is it, paper or electronic voting we should use? You keep flip floping."
P,"Yeah. Crazy isn't it. It's almost as if someone drew a lot of attention to this method and people were able to stay safe and vote. I seem to recall a lot of commercials about how bad it is, but then the state attorney general said it was safe and told us how to use this method."
P,Who is the entire world exactly? My guess is its a select elite that have a vested interest in wanting to see POTUS Trump fail@and not be taken seriously .. they are threatened by him so their line of defense is to try denigrate him publically.. a known political strategy.
N,"This was already ruled in a state court. Trump lost because he had republican poll officials observing. He just gets pissy and starts firing people who dont agree with him, i mean i guess he files lawsuits for the same reason."
N,un...when and on what planet did this happen? their checking produced a few thousand votes. not unusual in any recount . found some for Joe too. Nothing to make you even close to winning!
N,It's gonna be so awesome to see Biden take the oath of office!
N,Donalds own lawyers admitted in court under oath that there were GOP observers in the rooms at all times.
N,"I bet if you compare the number of mail in votes from 2016 and 2020, the number of rejected votes would still be higher this year"
N,"Trump doesn't care about facts. It's all about the feels with him. And he only has 2. ""See, told you I was awesome"" and ""how dare you insult me"". The emotional range of a teaspoon."
